PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6_north,Ratio 6.2/11.2,Ratio 7.7/11.2,Ratio 6.2/7.7,H2_9,H2_12,PAH 12.7,PAH 12.0,PAH 13.5,PAH 14.2,G7.6,G7.8,f_evsg,PAHPLAT_11,fevsg
1.87172558677722E-06,1.28196766136973E-06,3.7496663524332E-06,7.0404834166436E-08,4.11789207550342E-07,1.46004118760481,2.9249305309518,0.499171235745453,1.48727009957235E-07,8.85897620331171E-08,2.7528317276678E-07,2.75161163262853E-08,1.31064160366185E-08,7.84034398336319E-08,3.81621512361412E-06,1.71399672426806E-06,0.600030473535542,2.49065818117223E-06,0.600030473535542
2.12253755694011E-06,1.39922479256186E-06,4.19209261927533E-06,7.48822404093384E-08,4.68984379350389E-07,1.51693821337594,2.99601082082027,0.506319337311546,1.53545516528704E-07,9.12103184597097E-08,3.12626984502974E-07,2.88758628156971E-08,2.04234618529261E-08,8.02427237795435E-08,4.20306832133737E-06,1.70879486411439E-06,0.550519780103695,2.49864432455415E-06,0.550519780103695
2.4605208289725E-06,1.60224127002395E-06,4.42848445346358E-06,9.03619303434887E-08,5.81650106785005E-07,1.53567435504625,2.7639310859827,0.555612389481935,1.56006429774164E-07,9.28286796190129E-08,3.99950461800416E-07,2.99168132049422E-08,3.01885944215194E-08,7.51757488988662E-08,4.53801821958009E-06,1.65552912384144E-06,0.45012743892204,2.52098360282147E-06,0.45012743892204
2.59882481115315E-06,1.69313823479706E-06,4.5659230855654E-06,1.11254817823631E-07,6.49882801394513E-07,1.53491590807094,2.69672197563519,0.569178403238771,1.43076575637244E-07,8.73722143318814E-08,4.65725971604787E-07,2.54652559813453E-08,3.57439106282652E-08,6.59874571240596E-08,4.68711075885011E-06,1.59364844608966E-06,0.375882318436532,2.52385273235768E-06,0.375882318436532
2.52464763043466E-06,1.62704365890672E-06,4.65036386453846E-06,1.17059067760702E-07,6.51467569111026E-07,1.55167786470529,2.85816784268913,0.542892492711477,1.20891522800253E-07,8.29912820934778E-08,4.5260618511315E-07,2.66724634069268E-08,3.89171451486554E-08,6.52071856319716E-08,4.65063733819867E-06,1.55855506441706E-06,0.368853829861591,2.48423715609231E-06,0.368853829861591
2.34041757151921E-06,1.47342866519227E-06,4.61674945124241E-06,1.13445400073007E-07,6.39863157273131E-07,1.58841593543574,3.13333760928287,0.506940564186213,1.1367789101707E-07,8.27693481254514E-08,4.20153691632048E-07,2.49460179019702E-08,3.4949539129089E-08,6.86696055025441E-08,4.55097493015879E-06,1.53499444061171E-06,0.400111549448807,2.42510261573301E-06,0.400111549448807
2.33153854111374E-06,1.37689659623691E-06,4.48988778804355E-06,1.11868032768014E-07,6.28456044538986E-07,1.69332871290835,3.26087507247422,0.519286594939536,1.17799658375645E-07,7.39528871548265E-08,3.8711329192189E-07,3.06678611139666E-08,3.01147600738875E-08,7.64856389960044E-08,4.37718186935269E-06,1.46120216157889E-06,0.414528773350865,2.35189549545033E-06,0.414528773350865
2.4822996001925E-06,1.28012461774742E-06,4.3883401500601E-06,1.05736976817553E-07,6.34513207286055E-07,1.93910777574178,3.42805699478077,0.565657974384347,1.08757247810751E-07,6.79577531792543E-08,3.68531932373946E-07,2.03799396589999E-08,3.30843433295182E-08,8.7082738698696E-08,4.27589900612276E-06,1.38226690619698E-06,0.382673187784074,2.32390460820025E-06,0.382673187784074
2.51550953875302E-06,1.22344270793926E-06,4.39690522409334E-06,1.11483421754906E-07,7.02182034301247E-07,2.05609099831907,3.59387913758494,0.572109110964912,9.01795590021815E-08,6.77396763541909E-08,3.62892419174812E-07,2.11049541680313E-08,4.23017354766736E-08,8.34557950249385E-08,4.35983490238115E-06,1.33466286178883E-06,0.308436046025735,2.18246195678825E-06,0.308436046025735
2.4491324638999E-06,1.15113478901017E-06,4.57440948266338E-06,1.11929007206441E-07,7.80167460228074E-07,2.12758096382948,3.97382611170739,0.535398606788899,7.59718185285524E-08,6.03086390228434E-08,3.75482090237567E-07,2.13912869297137E-08,4.95020463317492E-08,6.5849881674455E-08,4.56337292101215E-06,1.30884283408725E-06,0.234704376289005,2.05314562527835E-06,0.234704376289005
2.52257148036593E-06,1.09359749996992E-06,4.44420333157703E-06,1.13815581396358E-07,8.00260611509734E-07,2.30667268390364,4.06383823271291,0.567609376115289,7.8815458193998E-08,5.42518368801543E-08,3.7586183193727E-07,2.69137113341624E-08,5.61634458389646E-08,5.13466340922968E-08,4.53265708443015E-06,1.20610873071902E-06,0.17159510090917,1.92850102558129E-06,0.17159510090917
2.58917463119147E-06,1.06495389808895E-06,4.42416694847934E-06,1.30497965095568E-07,7.79235658374947E-07,2.43125513305103,4.15432720272535,0.585234386799399,9.12587897824519E-08,5.69413919233129E-08,3.63894364130491E-07,3.08016675698234E-08,5.20271029711962E-08,4.34714011684797E-08,4.54404869919565E-06,1.13388024243339E-06,0.130424969736152,1.81459873250957E-06,0.130424969736152
2.61161853359457E-06,1.05377769106627E-06,4.5445767791801E-06,1.39683683370025E-07,7.41321996470321E-07,2.4783391750797,4.31265229631276,0.574667050529122,1.12246344348279E-07,5.56628181045366E-08,3.50319568638788E-07,2.84855765343808E-08,4.48628899193843E-08,4.11739508793972E-08,4.65754270577744E-06,1.12180226642134E-06,0.11736676618852,1.80537228078063E-06,0.11736676618852
2.6683187257168E-06,1.03315887175253E-06,4.63108146414243E-06,1.36793772802516E-07,7.29860681003123E-07,2.58267997175553,4.48244852825666,0.576176158069573,1.10896277863587E-07,4.49703577705382E-08,3.58980716201721E-07,2.87148453770994E-08,4.66196854185802E-08,4.14275128513666E-08,4.6987425584959E-06,1.11958155232488E-06,0.126082063594964,1.84106778563373E-06,0.126082063594964
2.63930656743616E-06,1.0180113932905E-06,4.57141482649358E-06,1.39711466842733E-07,7.66857716854919E-07,2.59261004820896,4.49053405160572,0.577350047547663,1.03860300658032E-07,5.54892881236676E-08,3.60424997828458E-07,3.28902427168087E-08,5.24522859217567E-08,4.29799501436547E-08,4.58153134878703E-06,1.09411911311846E-06,0.138534637068892,1.86157765828507E-06,0.138534637068892
2.6171398192975E-06,1.00099361856047E-06,4.61717290681012E-06,1.41310551496038E-07,7.70322022251581E-07,2.61454196187705,4.61258975202067,0.566827336147049,9.57989035949194E-08,6.01266390492404E-08,3.63589103747502E-07,3.73177176259371E-08,6.10526634651525E-08,4.14297655734915E-08,4.51756662423129E-06,1.05926394823391E-06,0.12345217176154,1.85563305759003E-06,0.12345217176154
2.56900612924271E-06,9.73905832140733E-07,4.61402082041746E-06,1.41461826615108E-07,7.49690737177265E-07,2.63783832528839,4.73764574371161,0.556782517728273,8.41636680360219E-08,5.08933305219688E-08,3.6755715503747E-07,3.29204044216742E-08,5.96597525975059E-08,2.69387568806716E-08,4.49165042390302E-06,1.03692577678287E-06,0.100487313871025,1.75956645323479E-06,0.100487313871025
2.38616254870574E-06,9.38472590229816E-07,4.556097502385E-06,1.46414351574241E-07,7.2155866172878E-07,2.54260228114004,4.8548008219071,0.523729474063415,6.46521435553811E-08,4.51480884918676E-08,3.51475273195036E-07,3.09210888478008E-08,5.20251406445508E-08,1.97726216239348E-08,4.37943817580904E-06,1.02338266459501E-06,0.089003268891159,1.60526496031304E-06,0.089003268891159
2.30130016355003E-06,8.80094848438038E-07,4.25483981404042E-06,1.48315981677183E-07,6.71479716595601E-07,2.61483198956828,4.8345241670165,0.540866463634199,5.30707756543315E-08,3.69979359615414E-08,3.23882107746795E-07,2.72594729800786E-08,5.02773006435867E-08,2.58885366017891E-08,4.07414606931106E-06,9.63362076007376E-07,0.09148696541098,1.52971064456993E-06,0.09148696541098
2.20937115817784E-06,8.07509501477975E-07,3.89635470795245E-06,1.31350962335027E-07,6.22890130976008E-07,2.73603116017094,4.8251502933662,0.567035427670001,5.05629560026247E-08,3.11007477188997E-08,2.97052410777596E-07,2.22019992345777E-08,4.71099761591474E-08,2.85495213447481E-08,3.726275209042E-06,8.84601855430032E-07,0.09977979840958,1.52955142206399E-06,0.09977979840958
1.95385812617186E-06,7.60644331599513E-07,3.55928287667903E-06,1.14453316268479E-07,6.16005598470845E-07,2.56868820945949,4.67929981045732,0.5489471317309,5.08670867882947E-08,3.14465271382123E-08,2.54067020561116E-07,1.94019185929663E-08,4.27566922961239E-08,2.72350157214914E-08,3.49563167598101E-06,8.45759327267405E-07,0.104300597723079,1.47661154838913E-06,0.104300597723079
1.75022493615972E-06,7.22247225176518E-07,3.57073051992292E-06,1.08618109904722E-07,6.19655574465652E-07,2.42330447961495,4.94391725638023,0.490158785826689,6.11115669021376E-08,3.46998898960255E-08,2.18273999337588E-07,1.83568427887292E-08,3.86585211516259E-08,2.04358958222877E-08,3.50653757474931E-06,8.75314970262079E-07,0.125580272882676,1.39784394566572E-06,0.125580272882676
1.72535886182369E-06,7.01013977484979E-07,3.59179411173113E-06,1.07740726439398E-07,5.84071961955791E-07,2.46123318113249,5.12371254652778,0.480361292477348,6.79405815716132E-08,4.45331515876237E-08,2.03964794201523E-07,1.36971506211745E-08,3.7180808237725E-08,1.57173854674175E-08,3.49481025124157E-06,8.44344466763074E-07,0.13381150086305,1.33629503369073E-06,0.13381150086305
1.70965269559683E-06,6.82144401670443E-07,3.43170960683062E-06,1.05691542019989E-07,5.27640367743224E-07,2.50629147055991,5.03076709040933,0.498192706105977,6.30878743009339E-08,4.96523229463695E-08,2.21027399822254E-07,9.39733006490624E-09,3.64148183548995E-08,1.91301339534429E-08,3.43052008177971E-06,7.87330215181679E-07,0.139349524318604,1.29112515714533E-06,0.139349524318604
1.67957987640697E-06,6.70398132360385E-07,3.229114481218E-06,1.04651364516657E-07,5.18913490701258E-07,2.50534689065047,4.81671163051827,0.520136367470456,5.15711522811549E-08,4.71879789921907E-08,2.32168735319712E-07,7.31291728694437E-09,3.10427475465841E-08,1.91634490059646E-08,3.28763730282891E-06,8.0165716971321E-07,0.181075967803687,1.27992823313721E-06,0.181075967803687
1.68226018704559E-06,6.71543486268347E-07,3.16044991303256E-06,1.03731423578661E-07,5.26144696984668E-07,2.50506515429645,4.70624758881162,0.532285033250664,4.58244312736948E-08,4.92409630407874E-08,2.27258174318286E-07,1.34513415170488E-08,2.78819763336161E-08,1.79735230421901E-08,3.18556079522888E-06,8.41452884548196E-07,0.210287269856602,1.27283507564656E-06,0.210287269856602
1.66747697543831E-06,7.00112446483534E-07,3.28363758883534E-06,1.05647600211679E-07,5.19996890459647E-07,2.38172736938698,4.69015742446535,0.507813950329926,4.13925389225801E-08,4.98226225650112E-08,2.2312358686697E-07,1.75275403119178E-08,3.5004911476183E-08,2.36756919668422E-08,3.25828261387155E-06,8.6173932282144E-07,0.210730925667514,1.23290813264338E-06,0.210730925667514
1.726887802771E-06,7.08708274986396E-07,3.4285537548647E-06,1.10565721273792E-07,5.41742789884153E-07,2.43666945021087,4.83775041984731,0.503678205517633,4.38333292914273E-08,4.16587107039778E-08,2.32648199897951E-07,1.08385697790928E-08,4.31200331699871E-08,3.17062743973251E-08,3.34908135475523E-06,8.61559277136735E-07,0.17895704738975,1.26641842834158E-06,0.17895704738975
1.80323399097967E-06,7.09130351412043E-07,3.45880954432027E-06,1.09537355085691E-07,5.87632473821708E-07,2.54288085031054,4.877537024657,0.521345268617283,5.339633937293E-08,3.28567386334527E-08,2.66866866266324E-07,1.58989898553542E-08,4.50336737475694E-08,3.41212988925549E-08,3.37688858102685E-06,8.52746766861325E-07,0.157361667275741,1.39431549022673E-06,0.157361667275741
2.31583704736528E-06,7.2599761966847E-07,3.40443224504365E-06,1.09228717588766E-07,6.5480311300419E-07,3.18986865056502,4.68931598783794,0.680241779150341,4.4991599188693E-08,3.07263456275075E-08,2.92034328612899E-07,2.33799906049315E-08,4.67307760794189E-08,4.13492301265942E-08,3.22200302844833E-06,8.14161406445895E-07,0.175286214285629,1.55498272185445E-06,0.175286214285629
1.90035210274899E-06,1.36637981106365E-06,4.05651924625166E-06,7.62405704315096E-08,4.30165204634885E-07,1.39079345827693,2.96880795032671,0.468468651912589,1.59551726573859E-07,8.22657639414524E-08,2.78549364106216E-07,2.77413783729279E-08,1.63818827504742E-08,7.7637699766903E-08,3.97077929800736E-06,1.74464839493006E-06,0.592689068901134,2.59554053858596E-06,0.592689068901134
2.12624841916772E-06,1.47229132092634E-06,4.20045800723355E-06,8.00207383333093E-08,4.70003863886818E-07,1.44417642687041,2.85300738211966,0.506194423442904,1.6340502190025E-07,8.60325417966143E-08,3.14690758904473E-07,2.69700170880015E-08,2.40909591542324E-08,7.60804328537932E-08,4.20274790314168E-06,1.70564539083263E-06,0.549645076678136,2.59093490772966E-06,0.549645076678136
2.28305162649839E-06,1.61782203922626E-06,4.34056336609336E-06,9.03769199355892E-08,5.54596848308889E-07,1.4111883576455,2.68296713782518,0.525980485467075,1.59496977226025E-07,8.98245665538461E-08,3.83448691920848E-07,2.43870095300484E-08,3.42287188584234E-08,6.96702801545112E-08,4.40000716328605E-06,1.63195458180782E-06,0.465645542609873,2.56786320429444E-06,0.465645542609873
2.38788381176973E-06,1.61420062233258E-06,4.29221023040687E-06,1.00998160285651E-07,6.07682424533252E-07,1.47929803689405,2.65903145558479,0.556329649198794,1.38450280116871E-07,8.16964611966586E-08,4.30291470934185E-07,1.90632040838066E-08,3.70949761472227E-08,6.3873680190274E-08,4.39313267525855E-06,1.53874971848129E-06,0.399015485101335,2.51982044644945E-06,0.399015485101335
2.38304896455849E-06,1.51702938282028E-06,4.39239128572771E-06,1.03928860149629E-07,6.15806553472971E-07,1.57086539756284,2.89538972380475,0.542540226846771,1.15466996751905E-07,7.54169475127961E-08,4.19844386261003E-07,2.55106238985589E-08,3.808048105449E-08,6.46169831820088E-08,4.3943136147139E-06,1.50604139545801E-06,0.381501840760084,2.43336902095877E-06,0.381501840760084
