PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,PAH 3.3(Flitecam data),PAH G7.6,PAH G7.8,H2,H2_12,PAH PLAT7,f_evsg,G76,G78,G76 Dave,G78 Dave,PAH 12.7
8.27740129893225E-06,5.50425831667424E-06,1.47749974464005E-05,3.04001879272452E-07,3.02195097990229E-06,2.37444334922195E-06,1.57632123291935E-05,4.48200182565013E-06,2.21460992983854E-07,1.0188296849848E-07,3.30097184162336E-05,0.42555715912349,3.29078874078673E-05,1.40351986980971E-05,0,0,1.66809230050428E-06
7.60879470566032E-06,4.9055157230141E-06,1.30642739595019E-05,3.02044160489225E-07,2.76607378171063E-06,1.3724020741835E-06,1.41512502485549E-05,3.93314884901608E-06,1.90584107007522E-07,7.2684925022537E-08,3.03366747274085E-05,0.388322717980291,2.9542693464678E-05,1.23164888709355E-05,1.27253729114662E-05,7.27351049217712E-06,1.54665815081185E-06
7.00885993193631E-06,4.38375230227218E-06,1.1944027123736E-05,3.17518198321583E-07,2.48252873200332E-06,1.00347665883301E-06,1.2981700855664E-05,3.44468336686877E-06,1.69284105774907E-07,5.65824469447135E-08,2.79905399417111E-05,0.338529311621941,2.71010972382595E-05,1.07868799225713E-05,1.16766109275338E-05,6.29592679815627E-06,1.39722000937235E-06
6.72271821525645E-06,4.00628354800467E-06,1.16785080061229E-05,3.27622166974381E-07,2.33520657936276E-06,1.20540620274955E-06,1.26274651563331E-05,3.22712414679226E-06,1.52167517999208E-07,5.30248797778798E-08,2.61014433147666E-05,0.279394883800481,2.63615811887397E-05,1.01056024485413E-05,1.10870318435903E-05,5.63443470352244E-06,1.33219039115729E-06
6.46014978141962E-06,3.72930210943643E-06,1.1466603109747E-05,3.24578683503311E-07,2.22974443570235E-06,1.0879509813878E-06,1.24881839678452E-05,3.13634220862576E-06,1.45608873938648E-07,5.42421703482079E-08,2.51612779075377E-05,0.240438066687658,2.60708124308827E-05,9.82132265796349E-06,1.07739156362156E-05,5.33701939537088E-06,1.29458042225053E-06
6.19232161843589E-06,3.54430987024353E-06,1.11946212630136E-05,3.17894880105671E-07,2.14424048520825E-06,1.0616402535124E-06,1.21239323013946E-05,3.06132318447315E-06,1.49181419913826E-07,5.44837813796186E-08,2.42783793031321E-05,0.236077937718162,2.5310386663764E-05,9.58640376433575E-06,1.04690397107822E-05,5.23376615836838E-06,1.26663797862666E-06
6.11950061111892E-06,3.40816951456897E-06,1.07621151699133E-05,2.99477808783172E-07,2.03085009818636E-06,9.18422474477905E-07,1.15426274257986E-05,2.96371985761504E-06,1.60689914265886E-07,5.6571065089434E-08,2.38509146773162E-05,0.25492352376789,2.40968322818103E-05,9.28076308426972E-06,9.99059170999312E-06,5.10555409147336E-06,1.22980146429591E-06
6.08137121095023E-06,3.36911085059992E-06,1.03278628644722E-05,2.85961643444565E-07,1.93207482867332E-06,6.72072662584347E-07,1.11942741954858E-05,2.94194615835627E-06,1.8369650340087E-07,5.60734392988397E-08,2.46443743272172E-05,0.298283243796018,2.33695967005152E-05,9.21257966815852E-06,9.72352558561787E-06,5.1128306276971E-06,1.16511604395575E-06
6.16519229964635E-06,3.4279034043848E-06,1.01814856501855E-05,2.84966386859068E-07,1.91401682606065E-06,7.72864986199418E-07,1.11522092488814E-05,3.01033803703081E-06,2.05566795525797E-07,5.78915233465581E-08,2.54063632528637E-05,0.342485419613753,2.32817803025775E-05,9.42674593668611E-06,9.54070210709942E-06,5.20199136878196E-06,1.12798696059096E-06
6.281544346057E-06,3.5563689426066E-06,1.07918263229447E-05,2.93603806016174E-07,1.9915745303706E-06,1.25454367799776E-06,1.17762910013241E-05,3.17512270717795E-06,2.15875741773655E-07,7.3166072384676E-08,2.65339895387548E-05,0.356616477553376,2.45846373353827E-05,9.94276214504185E-06,9.6771805209183E-06,5.3419142671868E-06,1.18063296666284E-06
