PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,f_evsg,PAH G7.8,PAH G7.6
1.87E-06,1.28E-06,3.75E-06,7.04E-08,4.12E-07,0.6000304735,1.64E-06,2.60E-06
2.12E-06,1.40E-06,4.19E-06,7.49E-08,4.69E-07,0.5505197801,1.66E-06,2.84E-06
2.46E-06,1.60E-06,4.43E-06,9.04E-08,5.82E-07,0.4501274389,1.64E-06,3.10E-06
2.60E-06,1.69E-06,4.57E-06,1.11E-07,6.50E-07,0.3758823184,1.58E-06,3.29E-06
2.52E-06,1.63E-06,4.65E-06,1.17E-07,6.51E-07,0.3688538299,1.52E-06,3.35E-06
2.34E-06,1.47E-06,4.62E-06,1.13E-07,6.40E-07,0.4001115494,1.48E-06,3.31E-06
2.33E-06,1.38E-06,4.49E-06,1.12E-07,6.28E-07,0.4145287734,1.43E-06,3.17E-06
2.48E-06,1.28E-06,4.39E-06,1.06E-07,6.35E-07,0.3826731878,1.38E-06,3.07E-06
2.52E-06,1.22E-06,4.40E-06,1.11E-07,7.02E-07,0.308436046,1.33E-06,3.17E-06
2.45E-06,1.15E-06,4.57E-06,1.12E-07,7.80E-07,0.2347043763,1.29E-06,3.39E-06
2.52E-06,1.09E-06,4.44E-06,1.14E-07,8.00E-07,0.1715951009,1.21E-06,3.37E-06
2.59E-06,1.06E-06,4.42E-06,1.30E-07,7.79E-07,0.1304249697,1.14E-06,3.42E-06
2.61E-06,1.05E-06,4.54E-06,1.40E-07,7.41E-07,0.1173667662,1.11E-06,3.58E-06
2.67E-06,1.03E-06,4.63E-06,1.37E-07,7.30E-07,0.1260820636,1.08E-06,3.69E-06
2.64E-06,1.02E-06,4.57E-06,1.40E-07,7.67E-07,0.1385346371,1.04E-06,3.63E-06
2.62E-06,1.00E-06,4.62E-06,1.41E-07,7.70E-07,0.1234521718,9.93E-07,3.60E-06
2.57E-06,9.74E-07,4.61E-06,1.41E-07,7.50E-07,0.1004873139,9.66E-07,3.61E-06
2.39E-06,9.38E-07,4.56E-06,1.46E-07,7.22E-07,0.08900326889,9.45E-07,3.54E-06
2.30E-06,8.80E-07,4.25E-06,1.48E-07,6.71E-07,0.09148696541,8.81E-07,3.32E-06
2.21E-06,8.08E-07,3.90E-06,1.31E-07,6.23E-07,0.09977979841,7.98E-07,3.06E-06
1.95E-06,7.61E-07,3.56E-06,1.14E-07,6.16E-07,0.1043005977,7.59E-07,2.86E-06
1.75E-06,7.22E-07,3.57E-06,1.09E-07,6.20E-07,0.1255802729,7.88E-07,2.86E-06
1.73E-06,7.01E-07,3.59E-06,1.08E-07,5.84E-07,0.1338115009,7.75E-07,2.83E-06
1.71E-06,6.82E-07,3.43E-06,1.06E-07,5.28E-07,0.1393495243,7.42E-07,2.74E-06
1.68E-06,6.70E-07,3.23E-06,1.05E-07,5.19E-07,0.1810759678,7.59E-07,2.59E-06
1.68E-06,6.72E-07,3.16E-06,1.04E-07,5.26E-07,0.2102872699,7.88E-07,2.50E-06
1.67E-06,7.00E-07,3.28E-06,1.06E-07,5.20E-07,0.2107309257,8.03E-07,2.57E-06
1.73E-06,7.09E-07,3.43E-06,1.11E-07,5.42E-07,0.1789570474,7.97E-07,2.67E-06
1.80E-06,7.09E-07,3.46E-06,1.10E-07,5.88E-07,0.1573616673,7.85E-07,2.71E-06
2.32E-06,7.26E-07,3.40E-06,1.09E-07,6.55E-07,0.1752862143,7.35E-07,2.66E-06
1.90E-06,1.37E-06,4.06E-06,7.62E-08,4.30E-07,0.5926890689,1.66E-06,2.72E-06
2.13E-06,1.47E-06,4.20E-06,8.00E-08,4.70E-07,0.5496450767,1.65E-06,2.85E-06
2.28E-06,1.62E-06,4.34E-06,9.04E-08,5.55E-07,0.4656455426,1.60E-06,3.02E-06
2.39E-06,1.61E-06,4.29E-06,1.01E-07,6.08E-07,0.3990154851,1.52E-06,3.07E-06
2.38E-06,1.52E-06,4.39E-06,1.04E-07,6.16E-07,0.3815018408,1.47E-06,3.16E-06
2.30E-06,1.40E-06,4.40E-06,1.08E-07,6.27E-07,0.3963742009,1.44E-06,3.17E-06
2.35E-06,1.33E-06,4.40E-06,1.09E-07,6.34E-07,0.4059519953,1.42E-06,3.15E-06
2.54E-06,1.29E-06,4.45E-06,9.99E-08,6.49E-07,0.3784662537,1.40E-06,3.16E-06
2.60E-06,1.28E-06,4.58E-06,1.04E-07,7.02E-07,0.3219458622,1.38E-06,3.31E-06
2.53E-06,1.23E-06,4.70E-06,1.11E-07,7.51E-07,0.2667993684,1.33E-06,3.46E-06
2.59E-06,1.15E-06,4.63E-06,1.16E-07,7.66E-07,0.1902693586,1.21E-06,3.43E-06
2.62E-06,1.11E-06,4.50E-06,1.30E-07,7.75E-07,0.1268735594,1.12E-06,3.43E-06
2.62E-06,1.09E-06,4.71E-06,1.39E-07,7.69E-07,0.1159909617,1.11E-06,3.61E-06
2.69E-06,1.07E-06,4.70E-06,1.43E-07,7.61E-07,0.1293081571,1.08E-06,3.67E-06
2.71E-06,1.06E-06,4.56E-06,1.53E-07,7.87E-07,0.1432032084,1.03E-06,3.57E-06
2.65E-06,1.05E-06,4.69E-06,1.53E-07,7.78E-07,0.1382369294,1.02E-06,3.66E-06
2.56E-06,1.02E-06,4.76E-06,1.44E-07,7.46E-07,0.1217859922,1.01E-06,3.72E-06
2.52E-06,9.74E-07,4.67E-06,1.47E-07,7.18E-07,0.1039225263,9.87E-07,3.62E-06
2.36E-06,9.07E-07,4.41E-06,1.50E-07,7.00E-07,0.09829974265,9.13E-07,3.42E-06
2.29E-06,8.33E-07,4.14E-06,1.33E-07,6.56E-07,0.09370820622,8.32E-07,3.23E-06
2.15E-06,7.72E-07,3.71E-06,1.14E-07,6.38E-07,0.100566489,7.69E-07,2.97E-06
1.93E-06,7.26E-07,3.59E-06,1.09E-07,6.09E-07,0.1297917527,7.74E-07,2.89E-06
1.76E-06,6.93E-07,3.59E-06,1.08E-07,5.90E-07,0.1535648944,7.72E-07,2.83E-06
1.72E-06,6.69E-07,3.41E-06,1.03E-07,5.65E-07,0.1700818421,7.52E-07,2.70E-06
1.70E-06,6.67E-07,3.24E-06,1.00E-07,5.62E-07,0.1901107388,7.77E-07,2.60E-06
1.74E-06,6.78E-07,3.20E-06,1.02E-07,5.66E-07,0.1996206726,7.99E-07,2.55E-06
1.72E-06,7.18E-07,3.35E-06,1.07E-07,5.75E-07,0.2037650319,8.10E-07,2.65E-06
1.85E-06,7.53E-07,3.56E-06,1.12E-07,5.94E-07,0.1884506459,8.18E-07,2.79E-06
1.93E-06,7.58E-07,3.76E-06,1.06E-07,6.36E-07,0.1705321725,8.53E-07,2.97E-06
2.42E-06,7.81E-07,3.85E-06,1.05E-07,6.91E-07,0.1923350683,8.44E-07,3.05E-06
1.88E-06,1.37E-06,4.03E-06,6.42E-08,4.30E-07,0.5941227371,1.65E-06,2.70E-06
2.10E-06,1.45E-06,4.08E-06,6.73E-08,4.63E-07,0.5554412397,1.60E-06,2.75E-06
