PAH 6.2,PAH 11.2,PAH 7.7,PAH G11.0,PAH 8.6,PAH 3.3 (Flitecam data),f_evsg, PAH G7.6, PAH G7.8
8.28E-06,5.50E-06,1.48E-05,3.04E-07,3.02E-06,2.37E-06,0.4255571591,0,0
7.61E-06,4.91E-06,1.31E-05,3.02E-07,2.77E-06,1.37E-06,0.388322718,1.27E-05,7.27E-06
7.01E-06,4.38E-06,1.19E-05,3.18E-07,2.48E-06,1.00E-06,0.3385293116,1.17E-05,6.30E-06
6.72E-06,4.01E-06,1.17E-05,3.28E-07,2.34E-06,1.21E-06,0.2793948838,1.11E-05,5.63E-06
6.46E-06,3.73E-06,1.15E-05,3.25E-07,2.23E-06,1.09E-06,0.2404380667,1.08E-05,5.34E-06
6.19E-06,3.54E-06,1.12E-05,3.18E-07,2.14E-06,1.06E-06,0.2360779377,1.05E-05,5.23E-06
6.12E-06,3.41E-06,1.08E-05,2.99E-07,2.03E-06,9.18E-07,0.2549235238,9.99E-06,5.11E-06
6.08E-06,3.37E-06,1.03E-05,2.86E-07,1.93E-06,6.72E-07,0.2982832438,9.72E-06,5.11E-06
6.17E-06,3.43E-06,1.02E-05,2.85E-07,1.91E-06,7.73E-07,0.3424854196,9.54E-06,5.20E-06
6.28E-06,3.56E-06,1.08E-05,2.94E-07,1.99E-06,1.25E-06,0.3566164776,9.68E-06,5.34E-06
7.35E-06,3.77E-06,1.24E-05,3.21E-07,2.28E-06,1.21E-06,0.3355541675,1.08E-05,5.62E-06
8.90E-06,4.09E-06,1.59E-05,3.88E-07,2.85E-06,1.86E-06,0.2945216837,1.28E-05,6.24E-06
1.04E-05,4.47E-06,1.93E-05,4.60E-07,3.57E-06,2.37E-06,0.2625800442,1.60E-05,7.47E-06
1.12E-05,4.72E-06,2.11E-05,5.02E-07,4.01E-06,2.16E-06,0.2517652769,1.80E-05,8.22E-06
1.08E-05,4.66E-06,2.04E-05,5.11E-07,3.86E-06,1.76E-06,0.2502457544,1.80E-05,8.11E-06
9.75E-06,4.37E-06,1.85E-05,4.93E-07,3.44E-06,1.63E-06,0.2331063586,1.65E-05,7.33E-06
9.21E-06,4.12E-06,1.71E-05,4.72E-07,3.14E-06,1.57E-06,0.2118369495,1.51E-05,6.59E-06
8.81E-06,4.03E-06,1.65E-05,4.57E-07,2.96E-06,1.58E-06,0.2064609159,1.45E-05,6.28E-06
